"Date","Description","Amount","Category","Account"
"2025-05-01","Monthly Salary Deposit",5000,"Salary","Checking Account"
"2025-05-05","Rent Payment - Apartment",-1500,"Rent/Mortgage","Checking Account"
"2025-05-15","AMC Theaters - Purchase",-40.12,"Entertainment","Checking Account"
"2025-05-16","Generic Transaction - Transfer",-1642.76,"Travel","Checking Account"
"2025-05-17","Generic Transaction - Transaction",-116.17,"Personal Care","Checking Account"
"2025-05-18","CVS Pharmacy - Purchase",-87.48,"Healthcare","Checking Account"
"2025-05-18","Car Rental - Transfer",-22.4,"Transportation","Checking Account"
"2025-05-18","Apple Store",-265.09,"Shopping","Credit Card"
"2025-05-20","CVS Pharmacy - Purchase",-434.83,"Healthcare","Checking Account"
"2025-05-21","Phone Bill - Transaction",-106.16,"Bills & Utilities","Checking Account"
"2025-05-21","Concert Tickets - Payment",-85.79,"Entertainment","Credit Card"
"2025-05-21","Generic Transaction - Payment",-161.95,"Insurance","Checking Account"
"2025-05-22","Generic Transaction - Payment",-2580.86,"Rent/Mortgage","Checking Account"
"2025-05-22","Generic Transaction - Payment",-655.73,"Travel","Checking Account"
"2025-05-24","Consulting Fee - Transaction",2459.97,"Freelance","Checking Account"
"2025-05-24","Generic Transaction - Transaction",226.72,"Other Income","Checking Account"
"2025-05-24","Disney+ - Purchase",-143.74,"Entertainment","Checking Account"
"2025-05-25","Generic Transaction - Purchase",-802.86,"Travel","Checking Account"
"2025-05-26","Internet Provider - Transfer",-66.75,"Bills & Utilities","Checking Account"
"2025-05-27","Consulting Fee - Transaction",1028.57,"Freelance","Checking Account"
"2025-05-27","Generic Transaction - Transfer",-136.8,"Personal Care","Credit Card"
"2025-05-29","Generic Transaction - Purchase",-202.57,"Education","Credit Card"
"2025-05-29","Generic Transaction - Purchase",-117.11,"Insurance","Checking Account"
"2025-05-29","Magazine Subscription - Transfer",-78.5,"Subscription","Checking Account"
"2025-05-29","Internet Provider - Transfer",-130.08,"Bills & Utilities","Checking Account"
"2025-05-31","Water Utility - Transaction",-278.16,"Bills & Utilities","Checking Account"
"2025-05-31","Monthly Salary - Payment",5646.75,"Salary","Checking Account"
"2025-05-31","AMC Theaters - Transaction",-78.18,"Entertainment","Checking Account"
"2025-06-01","Generic Transaction - Transaction",-75.58,"Personal Care","Credit Card"
"2025-06-01","Monthly Salary Deposit",5000,"Salary","Checking Account"
"2025-06-02","Generic Transaction - Transfer",-864.16,"Education","Checking Account"
